arch,reference,ref_tag,init,seed,same_run,same_seed,d_unaligned,d_aligned,d_null_aligned,D_norm,alignment_gain,cos_aligned,norm_init,norm_ref,norm_gap,D_spec,D_dist,n_sweeps,frac_neurons_moved
A,he_normal_s0,ref1,pytorch_default,0,False,True,88.43552125918899,82.29751899275337,82.25925148564055,1.0004652061187245,0.06940652555714817,0.19512935294857325,32.854979955792786,82.13766688942854,49.28268693363576,49.45860577491397,0.731489344183112,20,0.89375
A,he_normal_s0,ref1,pytorch_default,1,False,False,88.46752309748375,82.31307631925246,82.27979127762569,1.0004045348330364,0.06956730066297445,0.19435725466840278,32.80736315645237,82.13766688942854,49.330303732976176,49.508541934446285,0.7373339342754469,17,0.893125
A,he_normal_s0,ref1,pytorch_default,2,False,False,88.32784909414562,82.3290786842201,82.26659633913785,1.000759510516573,0.06791482495550914,0.19434009046370787,32.882653500392074,82.13766688942854,49.25501338903647,49.43183923180915,0.7293034666461407,17,0.88375
A,he_normal_s0,ref1,he_uniform,0,False,True,132.523639030862,102.83134421879288,102.81232769463497,1.0001849634628872,0.2240528182685536,0.19677682110533262,80.1074899330864,82.13766688942854,2.030176956342146,4.485564971472567,0.21574508817694385,21,0.9078125
A,he_normal_s0,ref1,he_uniform,1,False,False,114.55183904511345,102.82086746702375,102.79684841967357,1.0002336554837958,0.10240753597565334,0.19624621068317755,80.03605235305213,82.13766688942854,2.1016145363764167,4.509636445884904,0.21169270592066944,31,0.894375
A,he_normal_s0,ref1,he_uniform,2,False,False,114.92327149365836,102.9145337444499,102.90311776846993,1.0001109390680043,0.10449352505485475,0.1961788944170564,80.1797012952739,82.13766688942854,1.9579655941546434,4.475189684674565,0.2174936740027831,26,0.895625
A,he_normal_s0,ref1,xavier_normal,0,False,True,30.21378093653708,30.21378093653708,90.61125052241128,0.3334440344034781,0.0,0.9675868114335402,57.50709080269126,82.13766688942854,24.630576086737285,24.83526203886971,0.34622896666509234,1,0.0
A,he_normal_s0,ref1,xavier_normal,1,False,False,100.35258207419591,90.63436595928172,90.63357406614277,1.0000087373045488,0.09684071813647006,0.1945687469261725,57.49525012965961,82.13766688942854,24.642416759768935,24.8741628850104,0.34718369604257127,25,0.90375
A,he_normal_s0,ref1,xavier_normal,2,False,False,100.37495214831567,90.6850401257673,90.69322374981482,0.9999097658710413,0.09653715209976287,0.1946091751832427,57.61036322406465,82.13766688942854,24.527303665363895,24.77493439763036,0.344456942920649,21,0.89625
A,he_normal_s0,ref1,he_normal,0,True,True,20.093913064240244,20.093913064240244,102.82047652226969,0.19542715365541166,0.0,0.9696298843609484,80.08833687170686,82.13766688942854,2.0493300177216867,4.2939165866900115,0.026310124297233752,1,0.0
A,he_normal_s0,ref1,he_normal,1,False,False,114.81616796959446,102.85693615417267,102.80486364650902,1.0005065179390997,0.10415982371567063,0.19599935234507962,80.06867646047277,82.13766688942854,2.0689904289557717,4.476113787694766,0.0312237118848982,23,0.89875
A,he_normal_s0,ref1,he_normal,2,False,False,114.8685238930007,102.82741058039932,102.9714418013853,0.9986012508083184,0.10482517668476007,0.19787564498335247,80.21429362760621,82.13766688942854,1.9233732618223343,4.393580744434547,0.029816633665990203,29,0.900625
A,he_normal_s0,ref1,orthogonal,0,False,True,61.774394947586075,61.774394947586075,90.14360649056768,0.6852887004698435,0.0,0.659751380671502,56.65686221210395,82.13766688942854,25.480804677324592,45.03968481113541,0.36353754791961435,1,0.0
A,he_normal_s0,ref1,orthogonal,1,False,False,99.922438045667,90.14082953668043,90.16976289780787,0.9996791234644785,0.09789201204754563,0.19675118727379243,56.65686253565428,82.13766688942854,25.480804353774268,45.03968474186405,0.36548200412311055,20,0.8846875
A,he_normal_s0,ref1,orthogonal,2,False,False,99.85748367439149,90.13768121079089,90.19554803679632,0.9993584292432944,0.09733674538900133,0.1968121655324181,56.656862152465656,82.13766688942854,25.480804736962888,45.039684821953955,0.36610961444402257,24,0.8978125
A,he_normal_s0,ref1,lognormal_he_scale,0,False,True,114.69607008304776,102.81430833423092,102.8071168356958,1.0000699513687035,0.10359345128576453,0.19649355484079892,80.0509440711842,82.13766688942854,2.08672281824434,4.491538730213244,0.3011201139857784,21,0.88375
A,he_normal_s0,ref1,lognormal_he_scale,1,False,False,114.73842727561798,102.70122419303003,102.6698248658617,1.0003058281944996,0.10490995360841822,0.1967223261758501,79.89241840110937,82.13766688942854,2.2452484883191772,4.554446188837775,0.3011170845409288,24,0.88875
A,he_normal_s0,ref1,lognormal_he_scale,2,False,False,114.80541633060784,102.98409778822561,102.97889475123118,1.0000505252751741,0.10296829993055469,0.1962195427877441,80.29556530163394,82.13766688942854,1.8421015877946019,4.41234454072996,0.30069813579983085,30,0.896875
A,he_normal_s0,ref1,lognormal_jaynes,0,False,True,92.58964668567553,85.34149942616652,85.34658563235536,0.9999404052763078,0.07828248102204245,0.18370287318869838,42.734013071916806,82.13766688942854,39.40365381751174,41.79851868270312,0.6638817272458615,21,0.8959375
A,he_normal_s0,ref1,lognormal_jaynes,1,False,False,92.62601898109688,85.329222049241,85.30562765643057,1.000276586591748,0.07877696798504329,0.18314163543007425,42.62482162220097,82.13766688942854,39.512845267227576,41.86750402789652,0.6653389266894144,16,0.8928125
A,he_normal_s0,ref1,lognormal_jaynes,2,False,False,92.59330868320268,85.34814716180699,85.36566398328841,0.9997948024924301,0.07824713928502297,0.184505936278527,42.856520766111295,82.13766688942854,39.28114612331725,41.68238300437194,0.6624567441408516,32,0.903125
A,xavier_normal_s1,ref2,pytorch_default,0,False,False,70.6468555478323,64.82792172110302,64.82291591750736,1.0000772227463823,0.08236649432740144,0.19283608038647107,32.854979955792786,62.57929078106455,29.724310825271765,30.43550911832611,0.4560731165282952,19,0.8990625
A,xavier_normal_s1,ref2,pytorch_default,1,False,True,70.62361103228916,64.81984266226557,64.77617368015454,1.0006741519239257,0.08217886745227602,0.19260959838886185,32.80736315645237,62.57929078106455,29.771927624612182,30.48921759803112,0.4620033002690583,21,0.89875
A,xavier_normal_s1,ref2,pytorch_default,2,False,False,70.67468921328988,64.83315890960748,64.82859260297691,1.0000704366151911,0.082653781271725,0.19295082343190467,32.882653500392074,62.57929078106455,29.696637280672476,30.406484600211563,0.4539090232232685,20,0.9025
A,xavier_normal_s1,ref2,he_uniform,0,False,False,101.5426670280435,91.6870494710355,91.58573111802127,1.0011062678844989,0.09705888022702942,0.19218388865162384,80.1074899330864,62.57929078106455,17.52819915202185,20.122450223969313,0.45420842036943926,18,0.8990625
A,xavier_normal_s1,ref2,he_uniform,1,False,True,116.16995904883471,91.5535891143676,91.57961233190555,0.9997158404924926,0.2118996179048239,0.19365470053806957,80.03605235305213,62.57929078106455,17.456761571987577,20.057377059004967,0.4500633924615694,22,0.9190625
A,xavier_normal_s1,ref2,he_uniform,2,False,False,101.86572138656304,91.66943595056804,91.6361606074579,1.0003631245884765,0.10009535393463548,0.19348602566586692,80.1797012952739,62.57929078106455,17.60041051420935,20.212567311651195,0.4561766224202474,20,0.900625
A,xavier_normal_s1,ref2,xavier_normal,0,False,False,85.05721783465943,76.4579001845347,76.37532677401059,1.0010811529588401,0.10110038711636123,0.1913749905813937,57.50709080269126,62.57929078106455,5.072199978373291,7.640559729124155,0.07269510134961539,17,0.8975
A,xavier_normal_s1,ref2,xavier_normal,1,True,True,24.396768344578668,24.396768344578668,76.33055997580153,0.31961993141820233,0.0,0.9208792466437868,57.49525012965961,62.57929078106455,5.0840406514049405,7.649906651561635,0.07333706312608998,1,0.0
A,xavier_normal_s1,ref2,xavier_normal,2,False,False,85.02785697384637,76.4811215973967,76.50524628150664,0.9996846662773794,0.10051688564935321,0.19218817272971944,57.61036322406465,62.57929078106455,4.968927556999901,7.624667823584645,0.07123078750748128,22,0.89625
A,xavier_normal_s1,ref2,he_normal,0,False,False,101.71403338551913,91.53710984730044,91.5833935170662,0.9994946281417588,0.10005427176057262,0.19466450086823167,80.08833687170686,62.57929078106455,17.509046090642308,20.06162518431437,0.27012275839925837,20,0.895625
A,xavier_normal_s1,ref2,he_normal,1,False,True,33.40555801949803,33.40555801949803,91.59498005230813,0.3647094851750692,0.0,0.9191667595717529,80.06867646047277,62.57929078106455,17.489385679408223,20.038775571219052,0.27127188192768636,1,0.0
A,xavier_normal_s1,ref2,he_normal,2,False,False,101.69917197910704,91.70800177981673,91.69354697713595,1.0001576425294616,0.09824239474971226,0.1932508145598328,80.21429362760621,62.57929078106455,17.63500284654166,20.17947979020879,0.27155520262294713,29,0.9053125
A,xavier_normal_s1,ref2,orthogonal,0,False,False,84.4334450387474,75.91122893320568,75.85766100943981,1.000706163663011,0.10093412748503608,0.1923050630443632,56.65686221210395,62.57929078106455,5.922428568960598,34.33840904021105,0.09038140783193133,21,0.88875
A,xavier_normal_s1,ref2,orthogonal,1,False,True,51.69534796807461,51.69534796807461,75.89999518273557,0.6810981719249619,0.0,0.6280779264473982,56.65686253565428,62.57929078106455,5.9224282454102735,34.33840913284794,0.09219254553933072,1,0.0
A,xavier_normal_s1,ref2,orthogonal,2,False,False,84.39242006696942,75.86018793969299,75.86478449280214,0.9999394112414622,0.1011018776390782,0.19339749817739482,56.656862152465656,62.57929078106455,5.922428628598894,34.33840904332865,0.09279270552785449,24,0.908125
A,xavier_normal_s1,ref2,lognormal_he_scale,0,False,False,101.45678972404711,91.5867591473189,91.62295091618596,0.9996049923244651,0.09728309562695373,0.19325029746730651,80.0509440711842,62.57929078106455,17.471653290119654,19.999540117674147,0.48291081193915464,28,0.89875
A,xavier_normal_s1,ref2,lognormal_he_scale,1,False,True,101.38751588837025,91.42229356710901,91.51934886813405,0.9989395105819111,0.09828845527918006,0.1941081453388505,79.89241840110937,62.57929078106455,17.313127620044817,19.87857495613076,0.4829252992582895,20,0.8984375
A,xavier_normal_s1,ref2,lognormal_he_scale,2,False,False,101.82249667911381,91.8372175630321,91.75897683950059,1.0008526765034484,0.0980655497728522,0.19199328662590737,80.29556530163394,62.57929078106455,17.716274520569392,20.259221383967837,0.4874515754810733,21,0.8853125
A,xavier_normal_s1,ref2,lognormal_jaynes,0,False,False,75.6659188358372,69.01488406434552,69.02931630373492,0.9997909259404237,0.0879000066849329,0.18309882665896976,42.734013071916806,62.57929078106455,19.845277709147744,21.978237328029184,0.4748847501410403,21,0.906875
A,xavier_normal_s1,ref2,lognormal_jaynes,1,False,True,75.64243988698642,68.90331830535209,69.024577667065,0.9982432436993993,0.08909180602454018,0.18470501018558974,42.62482162220097,62.57929078106455,19.95446915886358,22.050389150169142,0.4761752991614436,28,0.9121875
A,xavier_normal_s1,ref2,lognormal_jaynes,2,False,False,75.87030871049825,69.10743622147005,69.09250708494852,1.0002160746099888,0.08913727390821084,0.18214700232206493,42.856520766111295,62.57929078106455,19.722770014953255,21.882367925727106,0.4736558445326799,21,0.895625
