a,b,same_init,same_seed,d_unaligned,d_aligned
he_uniform_s0,he_uniform_s1,True,False,116.54417524856856,104.07770268141694
he_uniform_s0,he_uniform_s2,True,False,116.22402376118104,103.94856619476127
he_uniform_s0,xavier_normal_s0,False,True,117.73617018348381,92.75116882265678
he_uniform_s0,xavier_normal_s1,False,False,103.075708673304,92.64431720277014
he_uniform_s0,xavier_normal_s2,False,False,103.22117460514045,92.58703070817008
he_uniform_s0,he_normal_s0,False,True,133.65389912083535,103.79603691610836
he_uniform_s0,he_normal_s1,False,False,115.96887363799941,103.76483701375781
he_uniform_s0,he_normal_s2,False,False,116.16058815774298,103.90770136357496
he_uniform_s0,orthogonal_s0,False,True,112.66758750140723,92.66144531797332
he_uniform_s0,orthogonal_s1,False,False,103.47024377285389,92.91861012289243
he_uniform_s0,orthogonal_s2,False,False,103.95807032518694,93.14682726632269
he_uniform_s0,lognormal_he_scale_s0,False,True,116.4099922203672,104.04717152704848
he_uniform_s0,lognormal_he_scale_s1,False,False,116.37143908522879,104.06706440271178
he_uniform_s0,lognormal_he_scale_s2,False,False,116.23611363753649,104.07984488855297
he_uniform_s0,lognormal_jaynes_s0,False,True,96.89387017315876,88.2154389112908
he_uniform_s0,lognormal_jaynes_s1,False,False,97.37339318365342,88.53434890074665
he_uniform_s0,lognormal_jaynes_s2,False,False,97.03270969823046,88.3410782510495
he_uniform_s1,he_uniform_s2,True,False,116.44221153540026,104.26140630479304
he_uniform_s1,xavier_normal_s0,False,False,103.53893428215649,92.99137898214097
he_uniform_s1,xavier_normal_s1,False,True,117.7172778171959,92.93073739442025
he_uniform_s1,xavier_normal_s2,False,False,103.62343316912703,92.87674171307386
he_uniform_s1,he_normal_s0,False,False,116.26565248037609,104.02180095962113
he_uniform_s1,he_normal_s1,False,True,133.85060219670797,103.99014893895568
he_uniform_s1,he_normal_s2,False,False,116.65544005459087,104.08932533984301
he_uniform_s1,orthogonal_s0,False,False,103.45796282259043,92.79639912871457
he_uniform_s1,orthogonal_s1,False,True,113.32367652605762,93.0852159154544
he_uniform_s1,orthogonal_s2,False,False,104.42530023535029,93.46403569554987
he_uniform_s1,lognormal_he_scale_s0,False,False,116.61665759584615,104.29138756259664
he_uniform_s1,lognormal_he_scale_s1,False,True,116.49418917847339,104.29152706309418
he_uniform_s1,lognormal_he_scale_s2,False,False,116.57705328289364,104.29083378687791
he_uniform_s1,lognormal_jaynes_s0,False,False,97.26310178673252,88.42218356819018
he_uniform_s1,lognormal_jaynes_s1,False,True,97.63771621547303,88.79675063445544
he_uniform_s1,lognormal_jaynes_s2,False,False,97.47173554902487,88.7546663605715
he_uniform_s2,xavier_normal_s0,False,False,103.59512626521446,93.02209548922457
he_uniform_s2,xavier_normal_s1,False,False,103.51174734399156,92.8166824042932
he_uniform_s2,xavier_normal_s2,False,True,117.70099498675182,92.7849237489122
he_uniform_s2,he_normal_s0,False,False,116.38386065571447,103.92017168181384
he_uniform_s2,he_normal_s1,False,False,116.5042660367659,103.93547853816416
he_uniform_s2,he_normal_s2,False,True,133.8276357128588,103.99992215986926
he_uniform_s2,orthogonal_s0,False,False,103.36329501839974,92.66109825779404
he_uniform_s2,orthogonal_s1,False,False,103.89463790542314,93.05732574020374
he_uniform_s2,orthogonal_s2,False,True,113.48246698304817,93.33356856265033
he_uniform_s2,lognormal_he_scale_s0,False,False,116.3435470319537,104.13599773418007
he_uniform_s2,lognormal_he_scale_s1,False,False,116.54550542396312,104.03458875873355
he_uniform_s2,lognormal_he_scale_s2,False,True,116.44178884445074,104.13248953175159
he_uniform_s2,lognormal_jaynes_s0,False,False,97.08339527906062,88.32436884722975
he_uniform_s2,lognormal_jaynes_s1,False,False,97.53724571470137,88.59535397389482
he_uniform_s2,lognormal_jaynes_s2,False,True,97.30579079274831,88.50202518524928
xavier_normal_s0,xavier_normal_s1,True,False,88.47292632525244,78.75131683934337
xavier_normal_s0,xavier_normal_s2,True,False,88.46822434724892,78.76035159377118
xavier_normal_s0,he_normal_s0,False,True,38.278069241059306,38.278069241059306
xavier_normal_s0,he_normal_s1,False,False,103.35258344353937,92.57743145273943
xavier_normal_s0,he_normal_s2,False,False,103.24486026311416,92.7478505885942
xavier_normal_s0,orthogonal_s0,False,True,57.6034219379376,57.6034219379376
xavier_normal_s0,orthogonal_s1,False,False,89.0429225057551,79.07231936296385
xavier_normal_s0,orthogonal_s2,False,False,89.33090624857792,79.36215736851567
xavier_normal_s0,lognormal_he_scale_s0,False,True,103.46925661422591,92.88073071912775
xavier_normal_s0,lognormal_he_scale_s1,False,False,103.66276262977618,92.798065288859
xavier_normal_s0,lognormal_he_scale_s2,False,False,103.45922444735817,92.93887161019654
xavier_normal_s0,lognormal_jaynes_s0,False,True,81.01723894125267,72.44093992773985
