pair_class,init,epoch,d_unaligned,d_aligned,reduction_pct,frac_neurons_moved
"trained models
(different seeds)",xavier_normal,10,88.19876464069343,78.50166040897372,10.994603236478472,0.918125
"trained models
(different seeds)",he_normal,10,116.16644451842737,103.77003637620824,10.671246928154632,0.8984375
"trained models
(different seeds)",he_normal,10,116.09480534994351,103.68231425519714,10.69168517689617,0.915625
"trained models
(different seeds)",he_normal,10,115.93977443752833,103.69136745738733,10.564456451259352,0.9034375
"trained models
(different seeds)",orthogonal,10,88.7106618458975,78.75498182745966,11.222642026650886,0.9225
"trained models
(different seeds)",orthogonal,10,89.18946455271069,79.11365033015838,11.297090158667267,0.9203125
"trained models
(different seeds)",orthogonal,10,89.53769694583963,79.5088245972994,11.200726275779227,0.9040625
"trained models
(different seeds)",lognormal_he_scale,10,116.5411976204526,104.06765245701061,10.703120800307387,0.9071875
"trained models
(different seeds)",lognormal_he_scale,10,116.36956474733745,104.04830575479949,10.588042517207985,0.914375
"trained models
(different seeds)",lognormal_he_scale,10,116.24990943324097,104.14266961809302,10.414838062390741,0.900625
"trained models
(different seeds)",lognormal_jaynes,10,73.19933538435548,64.4117808550701,12.004964912787297,0.93625
"trained models
(different seeds)",lognormal_jaynes,10,72.84330641248583,63.29870286836046,13.102924639468815,0.9575
"trained models
(different seeds)",lognormal_jaynes,10,73.46780572440939,64.4454478968174,12.280695930182583,0.9525
