run_id,init,seed,epoch,test_acc,PC1_abs,PC2_abs,norm_theta,dist_from_own_init
A_he_normal_s0,he_normal,0,0,10.31,-60.490655605002026,9.595285558035538,80.08833687170686,0.0
A_he_normal_s0,he_normal,0,1,93.92,-60.79953675436107,9.641238126582163,80.40633930993528,8.626817112858538
A_he_normal_s0,he_normal,0,2,95.19,-60.93467170643847,9.678670110399295,80.62938395397151,11.061234674827283
A_he_normal_s0,he_normal,0,3,95.94,-61.01729729681392,9.697218246827967,80.80156665956862,12.549623197309902
A_he_normal_s0,he_normal,0,4,96.14,-61.086661648056925,9.69759733586565,80.95647794543592,13.7453487501528
A_he_normal_s0,he_normal,0,5,96.3,-61.15101288187624,9.706283660532101,81.1517250028294,15.033515611866974
A_he_normal_s0,he_normal,0,6,96.22,-61.220946807369835,9.720412281476989,81.37945569063031,16.35210169904478
A_he_normal_s0,he_normal,0,7,97.0,-61.268637216247406,9.732143321599747,81.5687646661055,17.38072616647717
A_he_normal_s0,he_normal,0,8,97.19,-61.30547415788612,9.738470406633775,81.75533369277656,18.317520008850195
A_he_normal_s0,he_normal,0,9,97.3,-61.322578963084304,9.740829518167647,81.92743522217367,19.17475445683062
A_he_normal_s0,he_normal,0,10,97.31,-61.352465779851244,9.741152091818316,82.13766688942854,20.093913064240244
A_he_normal_s1,he_normal,1,0,9.22,40.144887831062356,46.050946388816904,80.06867646047277,0.0
A_he_normal_s1,he_normal,1,1,92.78,40.34986893799063,46.26175665094005,80.35124085806427,8.367506716566586
A_he_normal_s1,he_normal,1,2,95.24,40.432299801896974,46.36076471043401,80.55098351941496,10.804785315236959
A_he_normal_s1,he_normal,1,3,95.56,40.50072361816593,46.42158174323302,80.73688718991815,12.415304454623497
A_he_normal_s1,he_normal,1,4,96.05,40.55997241155426,46.48352114449371,80.93314607188061,13.866127460521463
A_he_normal_s1,he_normal,1,5,96.55,40.6089574233862,46.530086076067064,81.13683877233572,15.19065542740773
A_he_normal_s1,he_normal,1,6,97.06,40.651954750775324,46.58315540198711,81.33665442143885,16.353152119700038
A_he_normal_s1,he_normal,1,7,96.86,40.66816377083623,46.61438820466554,81.53386770359351,17.46073414035345
A_he_normal_s1,he_normal,1,8,96.59,40.70742885598063,46.63700934240155,81.72429106805926,18.411380452921904
A_he_normal_s1,he_normal,1,9,96.38,40.7119042503406,46.64790256594592,81.93152922331203,19.48032717822137
A_he_normal_s1,he_normal,1,10,96.36,40.73169661161729,46.66093078266402,82.14687554323672,20.42792544480787
A_he_normal_s2,he_normal,2,0,11.25,21.47204018929353,-59.24477657927538,80.21429362760621,0.0
A_he_normal_s2,he_normal,2,1,92.75,21.542124868932422,-59.495983949926554,80.48399972517119,8.166304555272244
A_he_normal_s2,he_normal,2,2,94.97,21.59005837360419,-59.610634679757744,80.67927925679916,10.530916228336988
A_he_normal_s2,he_normal,2,3,95.73,21.61258670073311,-59.70127938865595,80.86866273946364,12.29606207406866
A_he_normal_s2,he_normal,2,4,95.69,21.639961212617294,-59.766247468158184,81.06262509020011,13.86996888836429
A_he_normal_s2,he_normal,2,5,96.97,21.663387150146352,-59.82972126988623,81.25576978802417,15.205714323162361
A_he_normal_s2,he_normal,2,6,96.79,21.68048645464997,-59.8774596351152,81.41909995238532,16.24455488179226
A_he_normal_s2,he_normal,2,7,96.76,21.703285891186663,-59.922572457251555,81.62384435374999,17.372844027236617
A_he_normal_s2,he_normal,2,8,96.91,21.724139580567766,-59.94637614683696,81.79298664778648,18.26484149137868
A_he_normal_s2,he_normal,2,9,97.13,21.735648766338823,-59.97086946573282,81.97487317623526,19.140515974033928
A_he_normal_s2,he_normal,2,10,97.25,21.743529224466744,-59.98893772256174,82.17447563270272,20.0633199052675
A_he_uniform_s0,he_uniform,0,0,8.92,36.769414366050654,-5.233011308862298,80.1074899330864,0.0
A_he_uniform_s0,he_uniform,0,1,93.83,36.94489884834925,-5.24258353397607,80.42558686110576,8.400944820340342
A_he_uniform_s0,he_uniform,0,2,94.75,37.007828207694395,-5.242529758066826,80.6044575835721,10.682239587179215
A_he_uniform_s0,he_uniform,0,3,95.66,37.06401674648824,-5.246412667822191,80.78725436028513,12.382863640052435
A_he_uniform_s0,he_uniform,0,4,96.64,37.116615790660795,-5.246074719144343,80.99641391729087,13.99042771256432
A_he_uniform_s0,he_uniform,0,5,96.56,37.16496051385794,-5.2487408748823645,81.20010772216855,15.259571197889416
A_he_uniform_s0,he_uniform,0,6,96.82,37.18980842206834,-5.261694804833564,81.3828007471202,16.34216707568385
A_he_uniform_s0,he_uniform,0,7,96.52,37.23257363403486,-5.2681987528522365,81.59011802472189,17.411157099248996
A_he_uniform_s0,he_uniform,0,8,96.73,37.255738031363364,-5.2642859784349945,81.81160746388423,18.539367436345934
A_he_uniform_s0,he_uniform,0,9,97.08,37.2569136267813,-5.282003173961924,82.04155012203802,19.624424263667525
A_he_uniform_s0,he_uniform,0,10,96.83,37.268932371817364,-5.280853702450296,82.26671382679766,20.664949048459036
A_he_uniform_s1,he_uniform,1,0,12.98,-24.88942661407787,-27.4421435615596,80.03605235305213,0.0
A_he_uniform_s1,he_uniform,1,1,93.69,-24.976717146838705,-27.525467888171338,80.33903012491133,8.555785337966151
A_he_uniform_s1,he_uniform,1,2,94.82,-25.01423564664586,-27.571063432073053,80.53028091605238,10.805764335142376
A_he_uniform_s1,he_uniform,1,3,95.52,-25.03991555753414,-27.60920380967847,80.71397275334064,12.507880515181247
A_he_uniform_s1,he_uniform,1,4,96.25,-25.087105539938158,-27.64293374152817,80.92302913351668,14.007865922064727
A_he_uniform_s1,he_uniform,1,5,96.14,-25.10555492063796,-27.67040752158624,81.1002502366933,15.168420505863311
A_he_uniform_s1,he_uniform,1,6,96.69,-25.12989585480014,-27.688608798215704,81.28873498002393,16.281790310526933
A_he_uniform_s1,he_uniform,1,7,96.79,-25.151460251306045,-27.707096374356254,81.48502874796597,17.37135398093404
A_he_uniform_s1,he_uniform,1,8,97.1,-25.16912072133063,-27.715277907136432,81.69442388053379,18.5215471867698
A_he_uniform_s1,he_uniform,1,9,96.8,-25.188130005038182,-27.718611608980172,81.94677337236276,19.684154621276427
A_he_uniform_s1,he_uniform,1,10,96.91,-25.193449327467988,-27.68809786833214,82.67612622052712,22.93882356189607
A_he_uniform_s2,he_uniform,2,0,9.54,-13.245690357429451,36.31974769430889,80.1797012952739,0.0
A_he_uniform_s2,he_uniform,2,1,92.06,-13.321392440465631,36.48449162241371,80.47232578283871,8.278413797796281
A_he_uniform_s2,he_uniform,2,2,94.72,-13.355971316767468,36.573289125789174,80.71479556374456,10.902113556784126
A_he_uniform_s2,he_uniform,2,3,95.87,-13.373287730843122,36.64241449438864,80.92720840563476,12.664755935624237
A_he_uniform_s2,he_uniform,2,4,95.82,-13.394526265284167,36.695248837715724,81.12887880441382,14.165404357573419
A_he_uniform_s2,he_uniform,2,5,96.31,-13.41629717639416,36.72695521238098,81.33259810657535,15.534748843624802
A_he_uniform_s2,he_uniform,2,6,95.89,-13.426874325007768,36.77838602532933,81.69722373204847,17.626376027073174
A_he_uniform_s2,he_uniform,2,7,96.92,-13.441832383867835,36.81810725201607,81.95228327940077,18.876481760331625
A_he_uniform_s2,he_uniform,2,8,96.67,-13.45735186728111,36.845221874732374,82.13681342729299,19.739510850793042
A_he_uniform_s2,he_uniform,2,9,96.96,-13.469961614304255,36.86457872628063,82.30846696577623,20.512788398637603
A_he_uniform_s2,he_uniform,2,10,97.24,-13.475581557365759,36.87583908940128,82.47463390606227,21.22893135861139
A_lognormal_he_scale_s0,lognormal_he_scale,0,0,8.04,-0.207898765475584,1.0781579515513173,80.0509440711842,0.0
A_lognormal_he_scale_s0,lognormal_he_scale,0,1,93.54,-0.21468090032563084,1.0934896139435126,80.3609378036383,8.480860264198594
A_lognormal_he_scale_s0,lognormal_he_scale,0,2,95.27,-0.19765624503496326,1.0839210288393504,80.56464544370951,10.73279029248735
A_lognormal_he_scale_s0,lognormal_he_scale,0,3,95.67,-0.2026942115347323,1.0843299719148034,80.77124804840315,12.479571599073147
A_lognormal_he_scale_s0,lognormal_he_scale,0,4,96.29,-0.21018293963334955,1.0840722945256238,80.93526815256521,13.791309733496028
A_lognormal_he_scale_s0,lognormal_he_scale,0,5,96.97,-0.2161216257129254,1.086782759063556,81.1176475177174,14.925547275835163
A_lognormal_he_scale_s0,lognormal_he_scale,0,6,96.44,-0.22689267784194378,1.0828034607406667,81.29002386287719,16.02052580946585
A_lognormal_he_scale_s0,lognormal_he_scale,0,7,96.52,-0.22334106918828922,1.0801870502404591,81.4911442091569,17.11195875040379
A_lognormal_he_scale_s0,lognormal_he_scale,0,8,96.88,-0.22843117681642525,1.0741384265382017,81.7061087019046,18.24867252646046
A_lognormal_he_scale_s0,lognormal_he_scale,0,9,96.84,-0.23239281330444603,1.0835361469861877,81.87387336412436,19.073650572590676
A_lognormal_he_scale_s0,lognormal_he_scale,0,10,96.69,-0.23063332418000274,1.0762192398625776,82.4223929937186,21.613219564174763
A_lognormal_he_scale_s1,lognormal_he_scale,1,0,10.3,0.18569308050856503,0.4740797191873832,79.89241840110937,0.0
A_lognormal_he_scale_s1,lognormal_he_scale,1,1,93.76,0.1854046080869435,0.4729809268957575,80.20253420189971,8.32173046462695
A_lognormal_he_scale_s1,lognormal_he_scale,1,2,94.41,0.19691662087749232,0.4616442312391046,80.42281767661636,10.724046184378826
A_lognormal_he_scale_s1,lognormal_he_scale,1,3,95.83,0.19683795985283176,0.4697130130715917,80.62752933462987,12.370155589430663
A_lognormal_he_scale_s1,lognormal_he_scale,1,4,96.19,0.2002669435882794,0.4703501938457039,80.82160676101118,13.843951199320026
A_lognormal_he_scale_s1,lognormal_he_scale,1,5,96.39,0.19647173978250163,0.4605701360591738,81.02606107310118,15.139905986880862
A_lognormal_he_scale_s1,lognormal_he_scale,1,6,96.5,0.19714291778805068,0.46312079302278597,81.24282730242167,16.434527821352454
A_lognormal_he_scale_s1,lognormal_he_scale,1,7,95.72,0.2002835228580045,0.4739582245721129,81.70145748889658,18.749683120099505
A_lognormal_he_scale_s1,lognormal_he_scale,1,8,96.73,0.19134985861392428,0.46798798456039664,82.1500260905933,21.001583594435708
A_lognormal_he_scale_s1,lognormal_he_scale,1,9,96.91,0.1895584392659788,0.4686124051106562,82.38522062574903,21.960620508086567
A_lognormal_he_scale_s1,lognormal_he_scale,1,10,97.32,0.18876661663006583,0.46788901276561506,82.51487129138879,22.539622960723637
A_lognormal_he_scale_s2,lognormal_he_scale,2,0,11.16,-0.3666061620453952,0.41072054151334325,80.29556530163394,0.0
A_lognormal_he_scale_s2,lognormal_he_scale,2,1,91.63,-0.36748170674620384,0.4327143356090188,80.56210737981135,8.173038434670282
A_lognormal_he_scale_s2,lognormal_he_scale,2,2,95.13,-0.38180119809794166,0.45340938193190117,80.79863933091713,10.799204127106949
A_lognormal_he_scale_s2,lognormal_he_scale,2,3,96.04,-0.3857987228092219,0.4579118028209811,80.99283960225247,12.513362724015764
A_lognormal_he_scale_s2,lognormal_he_scale,2,4,96.58,-0.3929268965021503,0.45316659960920425,81.21018531769165,14.02868152443405
A_lognormal_he_scale_s2,lognormal_he_scale,2,5,96.38,-0.3928751908296342,0.4568379691158879,81.41528899860049,15.37686197194144
