init,seed,norm_gap,d_aligned,D_norm,cos_aligned,norm_init,norm_ref
pytorch_default,1,49.330303732976176,82.31307631925246,1.0004045348330364,0.19435725466840278,32.80736315645237,82.13766688942854
pytorch_default,2,49.25501338903647,82.3290786842201,1.000759510516573,0.19434009046370787,32.882653500392074,82.13766688942854
he_uniform,1,2.1016145363764167,102.82086746702375,1.0002336554837958,0.19624621068317755,80.03605235305213,82.13766688942854
he_uniform,2,1.9579655941546434,102.9145337444499,1.0001109390680043,0.1961788944170564,80.1797012952739,82.13766688942854
xavier_normal,1,24.642416759768935,90.63436595928172,1.0000087373045488,0.1945687469261725,57.49525012965961,82.13766688942854
xavier_normal,2,24.527303665363895,90.6850401257673,0.9999097658710413,0.1946091751832427,57.61036322406465,82.13766688942854
he_normal,1,2.0689904289557717,102.85693615417267,1.0005065179390997,0.19599935234507962,80.06867646047277,82.13766688942854
he_normal,2,1.9233732618223343,102.82741058039932,0.9986012508083184,0.19787564498335247,80.21429362760621,82.13766688942854
orthogonal,1,25.480804353774268,90.14082953668043,0.9996791234644785,0.19675118727379243,56.65686253565428,82.13766688942854
orthogonal,2,25.480804736962888,90.13768121079089,0.9993584292432944,0.1968121655324181,56.656862152465656,82.13766688942854
lognormal_he_scale,1,2.2452484883191772,102.70122419303003,1.0003058281944996,0.1967223261758501,79.89241840110937,82.13766688942854
lognormal_he_scale,2,1.8421015877946019,102.98409778822561,1.0000505252751741,0.1962195427877441,80.29556530163394,82.13766688942854
lognormal_jaynes,1,39.512845267227576,85.329222049241,1.000276586591748,0.18314163543007425,42.62482162220097,82.13766688942854
lognormal_jaynes,2,39.28114612331725,85.34814716180699,0.9997948024924301,0.184505936278527,42.856520766111295,82.13766688942854
