arch,init,seed,norm_theta,mean_absW,ln_r2_mean,stable_rank_mean,lens_power_mean,sv_entropy_mean
A,pytorch_default,100,32.805234372548334,0.043141905126708645,0.813287479779172,34.06348900896591,0.4628353323995625,4.552062182108882
A,pytorch_default,101,32.821313162137784,0.04316251871210905,0.8146345276148601,34.04066239760671,0.46117442135910347,4.552973057744129
A,pytorch_default,102,32.86454722771988,0.04323751982352865,0.8170883397046876,33.958974113294865,0.4610287143089203,4.552878365203392
A,pytorch_default,103,32.85083240737796,0.04318278024213665,0.8161762558232487,33.73730955382122,0.4590047748473156,4.551492977302385
A,pytorch_default,104,32.836132967978344,0.04318415529171592,0.8167737360186569,33.85813985726367,0.4593778692499831,4.55175082731073
A,pytorch_default,105,32.84096844736562,0.04321220815148113,0.8165306041095591,33.47592905387617,0.4565864584607382,4.551087941156743
A,pytorch_default,106,32.87185606299979,0.043268528147738024,0.8140660168188802,33.374030824811456,0.45617568094245925,4.551320859195953
A,pytorch_default,107,32.824604245420296,0.04315762163753571,0.8138704441208203,33.67657005602528,0.45861449707881,4.551666558107993
A,pytorch_default,108,32.81939517634285,0.04313085548147115,0.8159072863537394,33.754600043522736,0.4593547877262233,4.550905349804514
A,pytorch_default,109,32.84760013073855,0.04318034699923745,0.8139804393474765,33.76645396750804,0.45952726663949234,4.551983347488895
A,pytorch_default,110,32.84510669799881,0.043209782940975786,0.8133224900382913,33.42867586042604,0.4577428185533311,4.551763481292318
A,pytorch_default,111,32.85809770766615,0.04320141534249884,0.8159555854642229,33.5544941398214,0.45867781831953763,4.551241632000669
A,pytorch_default,112,32.83123109953739,0.04313188826094903,0.8167347536479517,33.27883418664651,0.4558384510375189,4.551575155345905
A,pytorch_default,113,32.828487070190086,0.04322286591288949,0.8140621032773171,33.564565689982416,0.45755060054630015,4.551502483542646
A,pytorch_default,114,32.8346745159863,0.0432249137306917,0.8154304795219123,33.561741855302856,0.4585647861000187,4.551759164919843
A,pytorch_default,115,32.85529244075758,0.04317681936581362,0.8140434530754709,33.67677192331255,0.45828274502724187,4.5520152959839795
A,pytorch_default,116,32.83824505463286,0.04317122587371344,0.8161660407623661,33.797328400674594,0.45870998710550137,4.553002813919758
A,pytorch_default,117,32.83895455925522,0.04319466779498415,0.8154912871370349,33.471168391591156,0.45690453663446406,4.550219230923087
A,pytorch_default,118,32.8689757121891,0.04324779791948479,0.8151202093144649,33.83023845259651,0.46118292249524045,4.55176288833518
A,pytorch_default,119,32.81893127644298,0.043143406648198226,0.8140964020368036,33.60254200514167,0.458645555229468,4.553009501569039
A,he_uniform,100,80.03294605817456,0.10554098660517287,0.8190541578792077,33.69450794247642,0.4589472499295858,4.551887079570191
A,he_uniform,101,80.11608485036372,0.10588605458908223,0.8147127184372854,33.831072554544455,0.4598850940703886,4.552398672561643
A,he_uniform,102,80.09769368584143,0.10567273264780137,0.814284645537149,33.40517993408065,0.45653726234408715,4.551516996780036
A,he_uniform,103,80.16061325144054,0.10597128435743934,0.8167644866592391,33.67899716947914,0.4586722795838835,4.551377868518598
A,he_uniform,104,80.19441562315457,0.10586081561924411,0.8177499340517146,33.357481353582976,0.45634102860733594,4.551432496541496
A,he_uniform,105,80.16108225585992,0.10592696168410462,0.8156710781944688,33.62980278404178,0.45808453531715937,4.551583390813818
A,he_uniform,106,80.09058292820977,0.10567218353576907,0.8160768780089357,33.50900411196002,0.4568634742994864,4.551418675758228
A,he_uniform,107,80.26594184122634,0.10587996643717222,0.8147862111134583,33.598476780048536,0.456473655196406,4.550852280482726
A,he_uniform,108,80.15972820684034,0.10575965972697231,0.8160978790686444,33.97818093663883,0.46220186557070864,4.5522213471521225
A,he_uniform,109,80.11060944143412,0.10571836361910392,0.8157166331716772,33.52704175869734,0.4583552239082547,4.551273552137618
A,he_uniform,110,80.10076442473252,0.10576709700808815,0.81707165989431,33.88935687659872,0.46175203929199987,4.552460170508197
A,he_uniform,111,80.1197774137041,0.10577427393133511,0.8159820774157324,33.8065632062865,0.4592127405600691,4.551349870278354
A,he_uniform,112,80.08515286543624,0.10564455969128754,0.8159674213244567,33.92563868535396,0.45934847530176015,4.550956422024672
A,he_uniform,113,80.0373877452851,0.1057118788928993,0.8148690153877477,34.104002186550424,0.4614059187159132,4.552512638394509
A,he_uniform,114,80.10962590749733,0.10575669342586161,0.8145077219890188,33.9294919192759,0.46007705955938805,4.552133931398885
A,he_uniform,115,80.10671965617986,0.10565464976236648,0.8157009069372021,33.875431898870026,0.4601352044817864,4.551929852432128
A,he_uniform,116,80.06150919652202,0.10556461884228896,0.8158473250288268,33.54407440871746,0.45818855714189677,4.55183233501338
A,he_uniform,117,80.23226897946643,0.10599134369183952,0.8127127058766264,33.65083207239616,0.4588829380219366,4.552083084262284
A,he_uniform,118,80.09288459490975,0.10563436909161947,0.8150943381135549,33.83034993868547,0.46021637750534505,4.551417083814948
A,he_uniform,119,80.17078622963031,0.10579719081487039,0.8150599268191813,33.66257927031976,0.4582486805891482,4.551154147111191
A,xavier_normal,100,57.40368754538222,0.07009437828168717,0.8958353323741967,33.22641377808779,0.4545386110443626,4.550349586062126
A,xavier_normal,101,57.46646810118964,0.07020834685909885,0.8974217859916107,33.723038671430515,0.4589758417850484,4.55145603499202
A,xavier_normal,102,57.619860710877674,0.07038958334632991,0.8958859508549991,33.245278346152574,0.4562675394464202,4.55154216318438
A,xavier_normal,103,57.531521997432,0.07019515962190326,0.8964501311902369,33.128224990713385,0.45587609434062376,4.551334373665843
A,xavier_normal,104,57.45299297818921,0.07007763027069372,0.8960207077848489,33.287749436542235,0.45464312709440474,4.549617542829655
A,xavier_normal,105,57.56841658180282,0.0701068371395816,0.8978453345399446,33.726468008077916,0.4599848738549261,4.550799744336692
A,xavier_normal,106,57.590684299011656,0.0703327826434434,0.8972486497143797,33.547076252792856,0.4560964976114329,4.550233462284406
A,xavier_normal,107,57.56937677742297,0.07022666978793118,0.8974381337581838,33.2134010733874,0.45460193128874654,4.550170436235476
A,xavier_normal,108,57.439452000326526,0.07010067212235241,0.8983363090494034,32.97039277304908,0.4530157311707517,4.550454006433001
A,xavier_normal,109,57.44860837927565,0.07025058439843361,0.8975228346500028,32.68767847779776,0.4524152950720708,4.551229226519192
A,xavier_normal,110,57.42676075497762,0.07000183844978317,0.8967117678822862,33.13851823202704,0.4549951825542695,4.550501234104953
A,xavier_normal,111,57.63476103313099,0.07035353512079148,0.8962923994201952,33.42633098708225,0.4555720431968701,4.551058481253432
A,xavier_normal,112,57.554020915939915,0.07031386384749704,0.8940898448822417,33.406717717286405,0.45643858754494376,4.550407001239306
A,xavier_normal,113,57.52047612871234,0.07029849195600833,0.8960836251227592,33.17142220054336,0.4553316796225182,4.550280860509318
A,xavier_normal,114,57.51613089133509,0.07015217155768039,0.8971809672240505,33.46011478796336,0.45695282279416577,4.5504376733763605
A,xavier_normal,115,57.63283784880299,0.0704075307751362,0.8975219452480138,33.056906116282086,0.4540692207415631,4.55012208750904
A,xavier_normal,116,57.448809642798984,0.0702437103774454,0.8962086077821245,33.15123899650094,0.45270480768503074,4.549609355136355
A,xavier_normal,117,57.53641008903128,0.07020572593946402,0.8964049056871679,33.28995148834298,0.4563297367259983,4.550066987010506
A,xavier_normal,118,57.453600367599044,0.07009462000304753,0.8970434463690627,33.18694283397742,0.45578902980678265,4.551212580844632
A,xavier_normal,119,57.63461599953761,0.07037129448437948,0.8964343873618089,33.388699017596004,0.4547725966802349,4.55126424465631
A,he_normal,100,79.93920817183457,0.09725130033367384,0.8958353323571107,33.226413777496035,0.45453861102978826,4.550349586098586
A,he_normal,101,80.01647389148539,0.09739388127022051,0.8974217860259164,33.72303867131964,0.45897584170523237,4.551456034983651
A,he_normal,102,80.24265679029182,0.09766218840402031,0.8958859508584832,33.24527832504051,0.4562675392531379,4.551542163113135
A,he_normal,103,80.11088325005412,0.09740002028949919,0.896450131210437,33.12822500552315,0.4558760943971898,4.55133437356318
A,he_normal,104,80.00703274547524,0.09726454430175141,0.8960207077569173,33.28774942617826,0.4546431270705019,4.549617542914515
A,he_normal,105,80.16309397135525,0.09731207728020802,0.8978453345331883,33.72646803345817,0.4599848739907158,4.550799744299504
A,he_normal,106,80.20552747545267,0.09757427109116258,0.8972486496918427,33.54707622381872,0.45609649736295427,4.550233462313836
A,he_normal,107,80.17399910586956,0.09744710420631177,0.8974381337511642,33.213401068522955,0.45460193119078346,4.550170436206
A,he_normal,108,79.98384048330108,0.09726544272053284,0.8983363090321083,32.9703927897524,0.4530157314355249,4.550454006518478
A,he_normal,109,79.99842402046646,0.09743364081996533,0.8975228346449224,32.687678448049304,0.45241529487254606,4.551229226540818
A,he_normal,110,79.97006052636723,0.09716000519682334,0.8967117678825042,33.13851825874376,0.45499518271624445,4.550501234099766
A,he_normal,111,80.25724543299454,0.09761947782187597,0.8962923994114047,33.4263309899928,0.4555720432794303,4.551058481178553
A,he_normal,112,80.15249161352108,0.0975407241933621,0.8940898448757644,33.40671769316354,0.4564385873432888,4.5504070013080105
A,he_normal,113,80.0949492013788,0.09752513110785267,0.8960836251072208,33.171422195643714,0.4553316795398195,4.550280860547132
A,he_normal,114,80.0955127895863,0.09735626542772005,0.8971809672094337,33.460114800030134,0.45695282288305117,4.550437673375755
A,he_normal,115,80.26366126435325,0.09768127818357947,0.8975219452518809,33.056906101928185,0.4540692206551516,4.550122087577829
A,he_normal,116,79.99347396765987,0.09742829912693306,0.8962086077538698,33.151239018594964,0.4527048077156992,4.549609355147765
A,he_normal,117,80.11595395871623,0.097415811502609,0.8964049056527095,33.28995148049083,0.4563297367015456,4.550066986981353
A,he_normal,118,79.99690922220069,0.09726181103734918,0.8970434464277438,33.186942800830174,0.45578902965491247,4.551212580873009
A,he_normal,119,80.26334850299284,0.09764436494948187,0.8964343873901541,33.38869903827499,0.4547725968345837,4.551264244655898
A,orthogonal,100,56.65686220190487,0.06901687685980391,0.8947753345907219,123.46141198424485,0.9999995027568414,4.753974668076306
A,orthogonal,101,56.65686243392927,0.06901113063985358,0.8947360292044695,123.46141403665564,0.9999995107025339,4.753974668076306
A,orthogonal,102,56.656862206490594,0.0690664973526589,0.895721125312355,123.46141198306063,0.9999995024189924,4.753974668076307
A,orthogonal,103,56.656862167892136,0.06906228379897096,0.89601757962441,123.46141138399709,0.9999994992811112,4.753974668076306
A,orthogonal,104,56.65686218102202,0.06909266404612678,0.895559461667023,123.4614147640432,0.9999995136655874,4.753974668076307
A,orthogonal,105,56.65686225780414,0.06903360367376735,0.8956583741418397,123.46141427481494,0.9999995123713178,4.753974668076307
A,orthogonal,106,56.65686239670717,0.06906434326909724,0.8958567767943347,123.46140867411651,0.9999994900280782,4.753974668076307
A,orthogonal,107,56.656862383672426,0.06899476695402319,0.8938426845789984,123.46141247217271,0.9999995053030848,4.753974668076307
A,orthogonal,108,56.65686222787371,0.06901117940786214,0.8947384898213518,123.46141481368295,0.9999995150145574,4.753974668076307
A,orthogonal,109,56.656861927456625,0.06912426184831015,0.8974838883929179,123.46141417678155,0.9999995118658903,4.753974668076307
