run_id,init,seed,epoch,test_acc,PC1_disp,PC2_disp,norm_theta,dist_from_own_init
A_he_normal_s0,he_normal,0,0,10.31,-0.21765832533749807,0.10058888253247474,80.08833687170686,0.0
A_he_normal_s0,he_normal,0,1,93.92,-0.2895790386396083,0.24319515960112456,80.40633930993528,8.626817112858538
A_he_normal_s0,he_normal,0,2,95.19,-0.2935764628492001,0.2900690662121333,80.62938395397151,11.061234674827283
A_he_normal_s0,he_normal,0,3,95.94,-0.32840391594024904,0.3270845689249201,80.80156665956862,12.549623197309902
A_he_normal_s0,he_normal,0,4,96.14,-0.3480248016302412,0.3406902899060384,80.95647794543592,13.7453487501528
A_he_normal_s0,he_normal,0,5,96.3,-0.3633999696462495,0.3726046771923863,81.1517250028294,15.033515611866974
A_he_normal_s0,he_normal,0,6,96.22,-0.36834119968929335,0.3816456913913106,81.37945569063031,16.35210169904478
A_he_normal_s0,he_normal,0,7,97.0,-0.3840320610647208,0.4023603196686585,81.5687646661055,17.38072616647717
A_he_normal_s0,he_normal,0,8,97.19,-0.38963804974809335,0.41772823828632993,81.75533369277656,18.317520008850195
A_he_normal_s0,he_normal,0,9,97.3,-0.3999336223618051,0.40058878696053335,81.92743522217367,19.17475445683062
A_he_normal_s0,he_normal,0,10,97.31,-0.4198276832751349,0.4399786208911365,82.13766688942854,20.093913064240244
A_he_normal_s1,he_normal,1,0,9.22,-0.21765832533749885,0.10058888253247,80.06867646047277,0.0
A_he_normal_s1,he_normal,1,1,92.78,-0.3589148580680352,0.07969657190613279,80.35124085806427,8.367506716566586
A_he_normal_s1,he_normal,1,2,95.24,-0.39864419407045143,0.08446996497558752,80.55098351941496,10.804785315236959
A_he_normal_s1,he_normal,1,3,95.56,-0.4014533609918542,0.10452314705379903,80.73688718991815,12.415304454623497
A_he_normal_s1,he_normal,1,4,96.05,-0.4185280597450591,0.10119779425690487,80.93314607188061,13.866127460521463
A_he_normal_s1,he_normal,1,5,96.55,-0.4420687389358421,0.11948166918267694,81.13683877233572,15.19065542740773
A_he_normal_s1,he_normal,1,6,97.06,-0.45936714941773316,0.12294861082797552,81.33665442143885,16.353152119700038
A_he_normal_s1,he_normal,1,7,96.86,-0.4978048846047807,0.11535583779459005,81.53386770359351,17.46073414035345
A_he_normal_s1,he_normal,1,8,96.59,-0.4983627854414715,0.12770469120338662,81.72429106805926,18.411380452921904
A_he_normal_s1,he_normal,1,9,96.38,-0.5190220105815604,0.14214747996070368,81.93152922331203,19.48032717822137
A_he_normal_s1,he_normal,1,10,96.36,-0.511599598775183,0.14549982674972703,82.14687554323672,20.42792544480787
A_he_normal_s2,he_normal,2,0,11.25,-0.21765832533749924,0.1005888825324751,80.21429362760621,0.0
A_he_normal_s2,he_normal,2,1,92.75,-0.2985300185063057,0.19651457384375765,80.48399972517119,8.166304555272244
A_he_normal_s2,he_normal,2,2,94.97,-0.3654474534187294,0.22002216493547444,80.67927925679916,10.530916228336988
A_he_normal_s2,he_normal,2,3,95.73,-0.43214037082781553,0.2522898681845686,80.86866273946364,12.29606207406866
