init,D_norm,D_spec,D_dist,final_acc,rank_D_norm,rank_D_spec,rank_D_dist
orthogonal,0.9995187763538864,45.039684781909,0.3657958092835666,94.31,1,6,5
he_normal,0.9995538843737091,4.434847266064656,0.0305201727754442,96.97333333333334,2,1,1
xavier_normal,0.9999592515877951,24.82454864132038,0.34582031948161013,96.77,3,4,4
lognormal_jaynes,1.0000356945420892,41.77494351613423,0.663897835415133,79.21333333333332,4,5,6
he_uniform,1.0001722972759,4.4924130652797345,0.21459318996172627,96.99333333333334,5,3,2
lognormal_he_scale,1.000178176734837,4.483395364783868,0.3009076101703798,97.00333333333333,6,2,3
pytorch_default,1.0005820226748048,49.47019058312772,0.7333187004607937,11.35,7,7,7
