epoch,PC1,PC2,step_size,test_acc
0,-11.582172607157709,-5.349581345436122,0.0,10.31
1,-7.82039015032056,-0.3713422701385216,8.62681770324707,93.92
2,-5.181825311221818,2.0547951815898102,5.699021816253662,95.19
3,-3.1018397335403574,3.0587793089705886,4.694028377532959,95.94
4,-1.2103061964830346,3.1928826850277625,4.3317551612854,96.14
5,0.8143131094001617,2.6895885232191517,4.526145935058594,96.3
6,2.969870962389897,1.3574528072963075,4.921632766723633,96.22
7,4.573458660084909,0.002731703296074506,4.416565418243408,97.0
8,5.897298352978917,-1.261735091153576,4.263169765472412,97.19
9,6.909288527518137,-2.299810118054218,4.153975009918213,97.3
10,7.732304389566445,-3.073761253878729,4.626232147216797,97.31
