arch,run_id,init,seed,epoch,test_acc,functional,norm_theta,dist_from_own_init,PC1_abs,PC2_abs,PC1_disp,PC2_disp,mean_absW,ln_r2_mean,stable_rank_mean,lens_power_mean,sv_entropy_mean
A,A_he_normal_s0,he_normal,0,0,10.31,True,80.08833687170686,0.0,-60.490655605002026,9.595285558035538,-0.21765832533749807,0.10058888253247474,0.09738476342342883,0.8964412198223635,33.17753882516443,0.4548705068054048,4.550720536505322
A,A_he_normal_s0,he_normal,0,1,93.92,True,80.40633930993528,8.626817112858538,-60.79953675436107,9.641238126582163,-0.2895790386396083,0.24319515960112456,0.09767075525013127,0.8991986234952418,32.6398561337266,0.45178544263164583,4.550625853609477
A,A_he_normal_s0,he_normal,0,2,95.19,True,80.62938395397151,11.061234674827283,-60.93467170643847,9.678670110399295,-0.2935764628492001,0.2900690662121333,0.09786443444239298,0.8984869930238545,32.391302647300634,0.4501628403369221,4.55049568139681
A,A_he_normal_s0,he_normal,0,3,95.94,True,80.80156665956862,12.549623197309902,-61.01729729681392,9.697218246827967,-0.32840391594024904,0.3270845689249201,0.09802729437881172,0.8985640839819674,32.41643048466513,0.45025256462123997,4.550311832270906
A,A_he_normal_s0,he_normal,0,4,96.14,True,80.95647794543592,13.7453487501528,-61.086661648056925,9.69759733586565,-0.3480248016302412,0.3406902899060384,0.09816354802115036,0.8976200526462148,32.268624918901374,0.4492731020572404,4.550116933043129
A,A_he_normal_s0,he_normal,0,5,96.3,True,81.1517250028294,15.033515611866974,-61.15101288187624,9.706283660532101,-0.3633999696462495,0.3726046771923863,0.09834084307681763,0.8983213335959341,32.024443399493734,0.4476360463857297,4.549929694450574
A,A_he_normal_s0,he_normal,0,6,96.22,True,81.37945569063031,16.35210169904478,-61.220946807369835,9.720412281476989,-0.36834119968929335,0.3816456913913106,0.09855536885601592,0.8980445429794087,31.755092885520526,0.4457727547606319,4.549696533803469
A,A_he_normal_s0,he_normal,0,7,97.0,True,81.5687646661055,17.38072616647717,-61.268637216247406,9.732143321599747,-0.3840320610647208,0.4023603196686585,0.09872300488674544,0.8976412553850792,31.486337124790957,0.44382885847309866,4.549395726581329
A,A_he_normal_s0,he_normal,0,8,97.19,True,81.75533369277656,18.317520008850195,-61.30547415788612,9.738470406633775,-0.38963804974809335,0.41772823828632993,0.09889906634726392,0.8980903945707955,31.44619399715748,0.4433771406270162,4.549032245666434
A,A_he_normal_s0,he_normal,0,9,97.3,True,81.92743522217367,19.17475445683062,-61.322578963084304,9.740829518167647,-0.3999336223618051,0.40058878696053335,0.09904855883137577,0.8981580543501297,31.20713870583592,0.4417492002023381,4.548948663931172
A,A_he_normal_s0,he_normal,0,10,97.31,True,82.13766688942854,20.093913064240244,-61.352465779851244,9.741152091818316,-0.4198276832751349,0.4399786208911365,0.09924217944021807,0.8985069457771486,31.0669987348248,0.44069986904913355,4.548731011223131
A,A_he_normal_s1,he_normal,1,0,9.22,True,80.06867646047277,0.0,40.144887831062356,46.050946388816904,-0.21765832533749885,0.10058888253247,0.09740154345671664,0.8978374535556646,33.215618305489315,0.45498916713708853,4.550811786134987
A,A_he_normal_s1,he_normal,1,1,92.78,True,80.35124085806427,8.367506716566586,40.34986893799063,46.26175665094005,-0.3589148580680352,0.07969657190613279,0.09767950186242905,0.8975460774546214,32.63804164742094,0.451202291394614,4.550642853635212
A,A_he_normal_s1,he_normal,1,2,95.24,True,80.55098351941496,10.804785315236959,40.432299801896974,46.36076471043401,-0.39864419407045143,0.08446996497558752,0.09787495533272501,0.8970314703845678,32.449411400672055,0.4498488221061958,4.550660396616487
A,A_he_normal_s1,he_normal,1,3,95.56,True,80.73688718991815,12.415304454623497,40.50072361816593,46.42158174323302,-0.4014533609918542,0.10452314705379903,0.09805244335311426,0.8953927928181359,32.364718362335495,0.4487393043320076,4.550304811919843
A,A_he_normal_s1,he_normal,1,4,96.05,True,80.93314607188061,13.866127460521463,40.55997241155426,46.48352114449371,-0.4185280597450591,0.10119779425690487,0.09827221945796377,0.89599555017034,32.15446563246335,0.44590806474413214,4.549996176851264
A,A_he_normal_s1,he_normal,1,5,96.55,True,81.13683877233572,15.19065542740773,40.6089574233862,46.530086076067064,-0.4420687389358421,0.11948166918267694,0.09846477148306446,0.8969536747311735,31.930060901880445,0.4440211195916574,4.549590002725115
A,A_he_normal_s1,he_normal,1,6,97.06,True,81.33665442143885,16.353152119700038,40.651954750775324,46.58315540198711,-0.45936714941773316,0.12294861082797552,0.09866622363346408,0.8960683993566221,31.65827108422493,0.44206644330313255,4.549500977964167
A,A_he_normal_s1,he_normal,1,7,96.86,True,81.53386770359351,17.46073414035345,40.66816377083623,46.61438820466554,-0.4978048846047807,0.11535583779459005,0.09885875374314579,0.8952479259872926,31.45369976287799,0.4400788457765374,4.549338951640449
A,A_he_normal_s1,he_normal,1,8,96.59,True,81.72429106805926,18.411380452921904,40.70742885598063,46.63700934240155,-0.4983627854414715,0.12770469120338662,0.09903587756396805,0.8969483831377112,31.38612207950344,0.4386701030732429,4.5490039412987695
A,A_he_normal_s1,he_normal,1,9,96.38,True,81.93152922331203,19.48032717822137,40.7119042503406,46.64790256594592,-0.5190220105815604,0.14214747996070368,0.09920619764658856,0.8980068076273455,31.13149214530393,0.4369861896635034,4.5486177921375965
A,A_he_normal_s1,he_normal,1,10,96.36,True,82.14687554323672,20.42792544480787,40.73169661161729,46.66093078266402,-0.511599598775183,0.14549982674972703,0.09942318567057923,0.896906426663686,30.976529494206595,0.435686437985942,4.548220109500701
A,A_he_normal_s2,he_normal,2,0,11.25,True,80.21429362760621,0.0,21.47204018929353,-59.24477657927538,-0.21765832533749924,0.1005888825324751,0.09762964862868098,0.8977892878333807,33.32744389069057,0.4561833434602737,4.550617106554608
A,A_he_normal_s2,he_normal,2,1,92.75,True,80.48399972517119,8.166304555272244,21.542124868932422,-59.495983949926554,-0.2985300185063057,0.19651457384375765,0.0978878473479745,0.896608209035513,32.55855744265897,0.4515686469515864,4.550595450343989
A,A_he_normal_s2,he_normal,2,2,94.97,True,80.67927925679916,10.530916228336988,21.59005837360419,-59.610634679757744,-0.3654474534187294,0.22002216493547444,0.09806513413473292,0.8969242091270407,32.43889052573327,0.4507712470403741,4.550462504911764
A,A_he_normal_s2,he_normal,2,3,95.73,True,80.86866273946364,12.29606207406866,21.61258670073311,-59.70127938865595,-0.43214037082781553,0.2522898681845686,0.09823364019786851,0.89684646896945,32.19812063487121,0.44911436611354905,4.550374312669465
A,A_he_normal_s2,he_normal,2,4,95.69,True,81.06262509020011,13.86996888836429,21.639961212617294,-59.766247468158184,-0.48081558247354655,0.26703428461535444,0.09840957566699883,0.8967290256190463,32.044329128049974,0.44809180434924006,4.550170206090575
A,A_he_normal_s2,he_normal,2,5,96.97,True,81.25576978802417,15.205714323162361,21.663387150146352,-59.82972126988623,-0.5001845398006557,0.24678935222787438,0.09858372764766271,0.8978364753693169,31.71283712696691,0.4456741407090885,4.550025888352087
A,A_he_normal_s2,he_normal,2,6,96.79,True,81.41909995238532,16.24455488179226,21.68048645464997,-59.8774596351152,-0.5283064788183364,0.31301101247003427,0.098732178128351,0.8980143066578601,31.637715226367245,0.44505146404274054,4.5497987374092626
A,A_he_normal_s2,he_normal,2,7,96.76,True,81.62384435374999,17.372844027236617,21.703285891186663,-59.922572457251555,-0.584169023221438,0.3216226772213518,0.09890310760147236,0.896198881017172,31.438296890756813,0.4435819478041498,4.549559974666801
A,A_he_normal_s2,he_normal,2,8,96.91,True,81.79298664778648,18.26484149137868,21.724139580567766,-59.94637614683696,-0.5837809895081277,0.32095047643993274,0.0990571090010383,0.897980914167198,31.36649509223675,0.44316709718021957,4.549247555784718
A,A_he_normal_s2,he_normal,2,9,97.13,True,81.97487317623526,19.140515974033928,21.735648766338823,-59.97086946573282,-0.5629789327015317,0.3418989905092909,0.0992279844055508,0.8980000956173207,31.069251868572938,0.4410046128480243,4.548902417086098
A,A_he_normal_s2,he_normal,2,10,97.25,True,82.17447563270272,20.0633199052675,21.743529224466744,-59.98893772256174,-0.5813964225706865,0.36503015928444205,0.0994170713701089,0.8977227740479174,30.93827305214596,0.44005030561686687,4.548586989555827
