init,norm_mean,norm_sd,absW_mean,absW_sd,srank_mean,srank_sd,n,final_acc_depth26
pytorch_default,32.840024016764296,0.017977639785861112,0.04318916117019307,3.9038092259901814e-05,33.67362598910959,0.21650387768731402,20,11.35
lognormal_jaynes,42.77574636550723,0.06944945364915972,0.04921705265591577,6.219045060862046e-05,32.68851116908448,0.23652504701495888,20,79.21333333333332
orthogonal,56.656862221762744,1.2158831189812683e-07,0.06905759234652177,4.270242034506722e-05,123.46141344924438,1.6876397852899817e-06,20,94.31
xavier_normal,57.52247465213882,0.07639289896193638,0.0702212713491344,0.00011828063339047993,33.27162820928167,0.24414153363909905,20,96.77
he_normal,80.10223731926786,0.10914873675183584,0.09743188196324662,0.00015399732367160472,33.27162820734261,0.24414153716066544,20,96.97333333333334
lognormal_he_scale,80.11624020503055,0.12883660576724562,0.0988501460545081,0.00012823028632313836,32.688511192951864,0.23652506642736731,20,97.00333333333333
he_uniform,80.12532875779544,0.05993956802815292,0.10575928419871591,0.00012852323789696728,33.72140328943023,0.20021663470106346,20,96.99333333333334
